                   MONTHLY CLIMATOLOGICAL SUMMARY for Oct 2024


NAME: Shefford, QC                  
ELEV: 300 meters    LAT: 45-12.26 N    LONG: 072-21.17 W


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   16.5   22.7  10:51   12.5  23:57    1.8    0.0   0.00    1.3    7.6  02:53     52
 02   14.0   21.5  13:38   10.8  05:20    4.3    0.0   0.00    2.0   15.1  06:00     67
 03   14.3   21.0  13:55   10.2  06:21    4.1    0.0   0.00    1.4    7.6  11:44    319
 04   16.4   24.3  13:16   12.1  04:00    2.0    0.0   0.56    0.9    7.6  11:26    287
 05   12.3   20.0  14:07    9.0  07:24    6.0    0.0   0.03    1.9   10.9  12:02    220
 06   11.7   19.8  14:19    6.7  07:12    6.6    0.0   0.79    3.3   10.9  20:48    122
 07   10.9   15.0  14:32    6.2  23:56    7.4    0.0   0.51    1.4   10.1  00:01     24
 08    8.1   14.4  14:02    4.0  06:53   10.3    0.0   0.00    1.6    8.4  12:11    272
 09    7.8   13.4  13:29    5.5  21:50   10.5    0.0   0.03    1.1    9.3  13:31    284
 10    5.9    7.4  15:40    4.7  03:10   12.4    0.0   0.08    1.1    8.4  10:10    285
 11    9.4   15.5  14:01    6.0  07:10    9.0    0.0   0.08    2.3   11.8  12:27    329
 12    8.1   11.8  11:29    3.4  23:30   10.2    0.0   0.10    2.5   14.2  11:43    286
 13    5.6   11.4  12:47    2.4  06:55   12.7    0.0   0.00    2.4   11.8  21:42    179
 14    3.1    4.9  00:05    1.7  14:31   15.2    0.0   1.83    4.8   20.0  08:55    164
 15    2.8    5.6  14:12    1.2  20:58   15.6    0.0   1.09    0.6   11.8  20:25    295
 16    3.4    7.0  14:58    1.2  00:00   14.9    0.0   0.15    1.0    8.4  05:00    283
 17    5.7   13.5  13:52    1.3  05:35   12.7    0.0   0.00    2.9   11.8  14:09    284
 18    9.1   18.3  14:27    4.4  05:38    9.2    0.0   0.00    2.4   10.1  12:59    288
 19   11.5   19.3  14:24    7.6  06:55    6.8    0.0   0.00    2.5    9.3  09:14    293
 20   13.6   20.8  13:53    9.0  00:00    4.8    0.0   0.00    2.6   10.1  11:01    317
 21   16.4   23.7  14:26   13.0  05:37    1.9    0.0   0.00    2.7   11.8  14:58    302
 22   17.3   24.9  14:44   12.2  07:25    1.0    0.0   0.00    2.2    8.4  15:39    307
 23   18.7   26.7  12:29   13.2  22:22    0.0    0.4   0.28    3.6   20.0  18:05    339
 24    7.8   14.0  14:18    4.6  23:06   10.5    0.0   0.03    2.8   15.1  06:57    196
 25    5.2   12.1  14:19    0.8  07:00   13.1    0.0   0.00    1.6   10.9  12:05    259
 26    6.2   10.8  13:28    1.0  23:45   12.2    0.0   0.00    2.5   15.1  10:08    282
 27    1.1    4.5  16:00   -2.8  23:50   17.2    0.0   0.00    2.7   13.4  14:11    315
 28    0.1    8.0  14:18   -4.1  05:43   18.2    0.0   0.00    3.2   10.1  13:44     41
 29    5.0   10.8  12:59   -0.4  00:00   13.3    0.0   0.28    3.2   12.6  18:22     78
 30   12.5   17.9  14:44    5.3  00:00    5.8    0.0   0.18    3.7   15.9  19:16    311
 31   20.0   25.9  14:13   17.2  08:14    0.0    1.6   0.00    4.4   16.7  21:45    330
---------------------------------------------------------------------------------------
       9.7   26.7     23   -4.1     28  269.7    2.0   5.99    2.3   20.0     14    300
