                   MONTHLY CLIMATOLOGICAL SUMMARY for Nov 2024


NAME: Shefford, QC                  
ELEV: 300 meters    LAT: 45-12.26 N    LONG: 072-21.17 W


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   11.6   20.1  00:00    1.3  23:58    6.7    0.0   0.71    4.0   23.4  10:34    352
 02    1.1    3.3  12:33   -0.5  23:16   17.3    0.0   0.00    1.5   14.2  01:31    197
 03   -0.2    6.0  13:45   -4.1  06:04   18.5    0.0   0.00    2.3   11.8  13:15    348
 04    3.2    6.8  12:53    0.0  00:00   15.1    0.0   0.30    3.6   13.4  13:45     39
 05   12.3   17.9  13:43    5.7  00:54    6.0    0.0   0.03    3.9   13.4  09:38    308
 06   15.6   19.7  13:17    8.2  23:56    2.8    0.0   0.03    4.0   20.9  07:39    334
 07    5.3    8.5  13:55    3.0  06:15   13.0    0.0   0.05    3.1   17.6  20:52    299
 08    5.3   10.4  12:50    1.7  22:03   13.0    0.0   0.28    4.3   25.8  18:07    337
 09    1.8    8.6  13:36   -1.9  06:59   16.6    0.0   0.00    3.4   16.7  04:49    307
 10    4.6   12.1  12:45   -1.5  03:05   13.7    0.0   0.03    2.8   11.8  12:02    298
 11    7.4    8.9  12:12    3.7  00:00   10.9    0.0   1.45    3.0   18.4  12:35    319
 12    1.3    7.1  00:00   -3.1  23:29   17.1    0.0   0.56    3.2   17.6  22:04     99
 13   -2.1    4.8  13:43   -5.0  04:29   20.4    0.0   0.00    4.2   17.6  07:42    145
 14    0.5    7.4  13:37   -3.5  01:04   17.8    0.0   0.00    6.3   13.4  20:58    128
 15    1.3    8.9  13:19   -2.7  06:31   17.0    0.0   0.00    4.8   16.7  17:48    255
 16    3.6   11.4  13:15   -0.8  00:52   14.7    0.0   0.00    4.9   12.6  10:35    286
 17    3.4    8.7  12:59   -0.3  05:45   14.9    0.0   0.00    3.7   15.1  10:43    303
 18    4.8    6.4  14:08    2.5  04:48   13.5    0.0   0.03    2.5   10.9  11:13    297
 19    4.0    8.8  13:31    1.5  22:35   14.3    0.0   0.00    2.0   10.9  09:31    269
 20    3.5    6.7  12:06    1.2  07:28   14.8    0.0   0.00    6.3   13.4  18:12    137
 21    5.2    7.6  11:55    3.6  01:02   13.1    0.0   0.00    9.0   18.4  19:51    133
 22    4.8    9.9  13:32    2.9  22:32   13.5    0.0   0.05   11.6   25.8  09:12    138
 23    1.9    3.0  00:00    0.9  07:15   16.4    0.0   0.58    2.2   19.2  08:25    172
 24   -0.3    2.2  02:23   -1.9  23:45   18.6    0.0   0.30    3.8   27.5  21:56    306
 25   -1.7    0.1  13:40   -3.1  07:05   20.1    0.0   0.00    3.1   15.1  06:16    296
 26    0.8    3.7  17:15   -2.6  02:54   17.5    0.0   1.09    3.5   18.4  14:40     68
 27    1.0    2.8  14:05   -0.8  23:05   17.3    0.0   0.00    3.5   15.9  06:18    341
 28   -0.2    0.5  09:49   -1.5  02:10   18.5    0.0   0.00    1.4    7.6  00:00    169
 29   -1.0    2.8  14:01   -2.3  07:10   19.3    0.0   0.03    0.4    7.6  22:28    346
 30   -2.5   -1.2  13:30   -3.2  17:00   20.8    0.0   0.00    0.9    6.0  03:34    343
---------------------------------------------------------------------------------------
       3.2   20.1     01   -5.0     13  453.3    0.0   5.51    3.8   27.5     24    159
