                   MONTHLY CLIMATOLOGICAL SUMMARY for Jan 2025


NAME: Shefford, QC
ELEV: 300 meters    LAT: 45-12.26 N    LONG: 072-21.17 W


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01    1.4    3.3  12:24   -1.2  21:47   16.9    0.0   0.38    5.1   19.2  06:33    139
 02   -4.1   -1.1  00:00   -6.8  23:48   22.4    0.0   0.00    0.7    9.3  00:35    347
 03   -8.4   -6.6  11:43  -12.1  23:56   26.7    0.0   0.00    0.0    0.0  00:00    N/A
 04  -13.4  -10.8  13:11  -15.4  08:02   31.7    0.0   0.00    0.0    0.0  00:00    N/A
 05  -15.3  -10.8  14:35  -18.8  22:08   33.6    0.0   0.00    0.6    5.1  21:43    291
 06  -15.1  -10.3  13:14  -17.8  08:04   33.4    0.0   0.00    2.4    9.3  13:17    295
 07  -11.3   -9.5  13:47  -13.5  00:05   29.6    0.0   0.00    0.3    6.0  01:38    314
 08  -15.2  -12.3  00:01  -16.5  07:00   33.5    0.0   0.00    0.0    0.0  00:00    N/A
 09  -12.6  -10.1  20:56  -14.6  03:55   30.9    0.0   0.00    0.0    0.0  00:00    N/A
 10  -11.0   -7.7  14:31  -12.5  08:11   29.3    0.0   0.00    0.0    0.0  00:00    N/A
 11   -9.2   -5.5  12:08  -10.7  18:23   27.5    0.0   0.00    0.0    0.0  00:00    N/A
 12   -7.8   -2.4  13:44   -9.3  08:29   26.2    0.0   0.00    1.6    7.6  09:54    299
 13   -4.0    0.6  11:58   -7.0  00:50   22.3    0.0   0.00    0.1    3.5  00:36    353
 14   -6.6   -3.7  00:05   -8.4  23:59   25.0    0.0   0.00    2.0   11.8  10:03    340
 15  -10.8   -8.4  00:00  -13.2  23:43   29.1    0.0   0.00    1.8    8.4  18:06    311
 16   -8.7   -4.6  14:46  -13.2  00:59   27.0    0.0   0.00    1.8    8.4  10:11    322
 17   -5.9   -3.2  23:04   -8.7  05:49   24.2    0.0   0.00    2.2   10.9  23:03    313
 18   -0.5    2.2  12:23   -3.7  01:20   18.8    0.0   0.00    3.1   24.2  15:23    330
 19   -8.4   -0.2  00:00  -13.2  23:41   26.8    0.0   0.00    0.2    6.0  08:10    314
 20  -16.2   -7.9  13:47  -20.3  22:20   34.5    0.0   0.00    0.2    2.7  13:33    298
 21  -15.5   -4.0  14:05  -19.6  00:00   33.9    0.0   0.00    1.2    6.0  11:41     11
 22  -15.0   -7.5  14:13  -17.9  06:08   33.3    0.0   0.00    2.4   11.8  12:48    319
 23  -10.5   -6.9  14:18  -14.0  00:15   28.8    0.0   0.00    2.8   10.9  11:06    314
 24  -11.9   -6.2  13:29  -15.9  23:46   30.2    0.0   0.00    2.8   13.4  11:09    299
 25  -11.0   -3.5  13:52  -16.1  02:09   29.3    0.0   0.00    3.4   14.2  23:08    308
 26   -6.1   -1.0  14:24   -8.8  18:50   24.5    0.0   0.00    3.7   15.9  16:25    337
 27   -3.7   -0.1  13:05   -8.0  00:00   22.0    0.0   0.00    5.8   24.2  22:43    328
 28  -12.5   -3.0  00:05  -18.0  18:40   30.8    0.0   0.00    0.6   16.7  00:18    335
 29  -12.2   -5.6  11:49  -15.2  00:00   30.5    0.0   0.00    0.0    0.0  00:00    N/A
 30  -15.5   -8.5  23:21  -21.2  07:29   33.9    0.0   0.00    0.8   15.1  22:47    318
 31   -5.8   -1.3  13:30  -11.1  23:55   24.1    0.0   0.00    2.9   15.9  18:38    278
---------------------------------------------------------------------------------------
      -9.8    3.3     01  -21.2     30  871.0    0.0   0.38    1.6   24.2     18    317
