                   MONTHLY CLIMATOLOGICAL SUMMARY for Feb 2025


NAME: Shefford, QC
ELEV: 300 meters    LAT: 45-12.26 N    LONG: 072-21.17 W


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01  -17.0  -11.1  00:05  -20.9  23:25   35.3    0.0   0.00    3.5   16.7  05:51    266
 02  -14.0   -8.3  23:38  -21.1  04:33   32.4    0.0   0.00    2.9   12.6  19:28    322
 03   -3.7   -0.1  13:35   -8.4  00:00   22.0    0.0   0.00    2.1   10.9  01:14    325
 04   -9.5   -4.1  00:00  -16.4  23:16   27.8    0.0   0.00    0.5   10.1  16:04    319
 05  -16.4  -10.4  13:39  -20.1  07:31   34.7    0.0   0.00    2.7   15.1  12:29    306
 06   -9.1   -1.7  22:18  -17.0  00:01   27.4    0.0   0.00    3.4   15.9  18:32    332
 07   -6.6   -2.9  00:00  -10.9  23:11   24.9    0.0   0.00    2.9   12.6  14:51    342
 08   -9.1   -2.2  13:13  -12.1  06:39   27.5    0.0   0.00    2.7    9.3  13:34    326
 09   -7.1    0.5  13:52   -9.6  07:00   25.4    0.0   0.00    2.0    8.4  12:41    250
 10  -10.2   -3.9  14:02  -13.9  18:30   28.6    0.0   0.00    1.2    9.3  12:10    315
 11   -9.1   -3.8  11:42  -14.3  00:00   27.4    0.0   0.00    2.3   15.1  10:43    346
 12  -12.7   -4.3  14:09  -18.0  06:53   31.0    0.0   0.00    3.8   11.8  08:43    202
 13   -5.8    0.3  16:25  -10.0  01:04   24.1    0.0   0.00    4.6   16.7  19:24    254
 14  -11.9   -7.2  14:01  -15.3  06:56   30.2    0.0   0.00    3.7   13.4  13:57    326
 15  -10.9   -5.7  12:40  -15.6  02:18   29.3    0.0   0.00    2.8    8.4  15:27    262
 16   -9.2   -7.6  14:15  -12.5  23:53   27.5    0.0   0.00    4.0   21.7  13:42    227
 17  -14.0  -12.4  00:00  -15.9  08:15   32.4    0.0   0.00    4.2   20.0  11:24    330
 18  -16.3  -13.3  13:31  -18.1  07:06   34.7    0.0   0.00    4.4   16.7  00:51    334
 19  -15.4   -6.6  13:55  -19.9  06:40   33.7    0.0   0.00    3.8   15.9  11:35    322
 20  -12.5   -4.8  13:13  -17.3  04:16   30.9    0.0   0.00    3.7    9.3  08:20    308
 21  -11.3   -7.4  13:53  -14.2  22:47   29.7    0.0   0.00    2.3   13.4  15:19    317
 22   -8.1   -0.9  13:03  -15.5  06:49   26.5    0.0   0.00    3.7   12.6  13:04    315
 23   -5.0   -2.6  14:57   -7.6  23:44   23.4    0.0   0.00    2.4   11.8  10:58    331
 24   -1.2    3.4  21:50   -7.5  00:00   19.5    0.0   0.25    3.5   20.0  21:10    329
 25    3.0    7.6  13:13    0.0  23:49   15.3    0.0   1.32    2.9   12.6  00:37    332
 26   -1.6    2.0  14:26   -6.0  23:10   19.9    0.0   0.03    1.7    9.3  10:32    313
 27   -1.7    1.0  18:08   -5.3  00:20   20.0    0.0   0.05    3.4   17.6  11:27    335
 28   -6.4   -0.7  01:20  -11.5  18:58   24.7    0.0   0.00    1.6   13.4  23:44    292
---------------------------------------------------------------------------------------
      -9.0    7.6     25  -21.1     02  766.1    0.0   1.65    2.9   21.7     16    311
