                   MONTHLY CLIMATOLOGICAL SUMMARY for Mar 2025


NAME: Shefford, QC
ELEV: 300 meters    LAT: 45-12.26 N    LONG: 072-21.17 W


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   -4.9    6.8  10:36  -13.9  23:45   23.2    0.0   0.58    3.9   17.6  14:24    334
 02  -17.1  -11.5  14:08  -20.6  07:19   35.4    0.0   0.00    3.4   15.9  11:36    317
 03  -11.8   -3.6  13:34  -18.4  03:44   30.1    0.0   0.00    3.3   11.8  12:43    308
 04   -2.3    2.8  09:51   -9.1  00:05   20.6    0.0   0.18    1.8   10.9  10:01    326
 05    3.4    6.3  21:04    0.4  00:00   15.0    0.0   2.31    2.9   19.2  20:18    343
 06    2.5    6.5  01:27   -6.5  23:56   15.8    0.0   0.23    4.7   16.7  00:42    327
 07   -6.5    0.2  13:43  -10.7  04:48   24.8    0.0   0.03    5.4   22.5  16:26    327
 08   -7.8   -5.2  14:49   -9.7  04:43   26.2    0.0   0.00    4.7   20.0  11:35    315
 09   -5.3   -0.3  15:09   -9.2  04:06   23.6    0.0   0.00    3.4   12.6  00:10    319
 10   -2.7    1.0  15:13   -5.9  03:37   21.0    0.0   0.00    1.6    6.8  03:05    283
 11    5.6   14.2  14:09   -1.7  23:58   12.7    0.0   0.43    5.0   20.0  13:30    336
 12   -6.0   -0.4  13:32  -10.8  07:19   24.4    0.0   0.00    2.7   11.8  11:10    216
 13    0.2    8.7  15:14   -7.6  02:00   18.1    0.0   0.00    3.1   11.8  16:32    354
 14    6.4   13.1  14:43    1.0  07:15   12.0    0.0   0.00    3.5   14.2  09:46    327
 15   11.3   18.7  15:18    6.0  06:45    7.0    0.0   0.00    4.6   18.4  23:03    335
 16   11.7   14.4  12:44    8.9  05:07    6.7    0.0   0.43    6.0   21.7  04:16    325
 17    2.5    9.4  00:00   -3.7  23:18   15.8    0.0   0.30    2.7   15.1  00:38    297
 18    1.5   10.3  14:57   -5.8  06:58   16.8    0.0   0.00    2.8   10.1  15:27    108
 19   11.1   20.6  15:12    4.6  00:00    7.2    0.0   0.00    4.3   15.9  20:11     52
 20   11.4   18.3  13:53    6.4  23:58    6.9    0.0   0.08    4.6   16.7  16:15      7
 21    1.2    6.4  00:00   -3.0  08:11   17.2    0.0   0.81    3.2   19.2  05:09    292
 22    2.5   13.1  14:00   -7.3  23:45   15.8    0.0   0.48    3.8   21.7  19:58    308
 23   -7.5   -2.0  14:49  -13.4  06:44   25.8    0.0   0.00    3.2   19.2  12:06    272
 24   -2.7    1.7  17:14   -8.4  00:33   21.1    0.0   0.00    3.9   16.7  14:02    112
 25    0.2    3.7  12:09   -1.1  23:45   18.1    0.0   0.41    1.8   10.1  02:10    321
 26   -0.6    3.4  13:14   -3.5  22:40   18.9    0.0   0.08    0.0    4.3  01:22    298
 27    0.2    5.9  13:57   -3.4  02:18   18.1    0.0   0.89    2.0   16.7  13:29    307
 28   -1.0    2.4  12:51   -4.2  08:14   19.3    0.0   0.03    3.9   18.4  12:23    292
 29   -2.8    2.2  15:24   -6.2  07:21   21.1    0.0   0.00    6.2   15.1  06:26    148
 30   -0.1    1.4  23:44   -2.5  00:12   18.5    0.0   0.13    5.0   16.7  20:24    133
 31    6.7   15.4  15:16    1.4  00:05   11.6    0.0   0.43    4.3   20.9  06:49    325
---------------------------------------------------------------------------------------
      -0.1   20.6     19  -20.6     02  568.9    0.0   7.82    3.6   22.5     07    322
