                   MONTHLY CLIMATOLOGICAL SUMMARY for Apr 2025


NAME: Shefford, QC
ELEV: 300 meters    LAT: 45-12.26 N    LONG: 072-21.17 W


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   -1.1    3.7  13:26   -6.6  00:00   19.4    0.0   0.00    4.0   20.9  12:31    281
 02   -3.0    3.4  13:41   -9.9  06:06   21.3    0.0   0.00    4.2   14.2  10:03    146
 03    6.0   15.0  17:30   -1.5  00:00   12.4    0.0   1.47    5.1   23.4  10:55    332
 04    4.6   10.2  14:39    1.3  06:20   13.8    0.0   0.00    3.8   17.6  10:36    304
 05    3.0    7.3  11:45   -0.2  02:52   15.4    0.0   0.43    5.9   20.9  14:46    121
 06    3.6    7.9  13:08   -0.6  23:58   14.7    0.0   0.05    3.3   16.7  03:07    298
 07    2.7    9.8  14:20   -3.1  06:40   15.6    0.0   0.00    4.5   15.1  14:04    147
 08   -1.8    2.6  00:00   -6.6  22:15   20.1    0.0   0.00    0.8   11.8  05:38    121
 09   -3.9    2.8  13:50  -10.7  06:14   22.3    0.0   0.20    0.2   11.8  18:57      7
 10    1.3    7.0  14:25   -5.1  01:19   17.0    0.0   0.51    2.9   13.4  11:45    310
 11    3.4    8.1  11:16   -0.1  06:52   15.0    0.0   0.05    2.7    8.4  16:08    129
 12    3.7    7.1  11:29    1.4  23:55   14.6    0.0   0.15    5.9   13.4  10:07    145
 13    5.3   12.6  17:00    0.7  05:46   13.0    0.0   0.00    5.0   19.2  12:25    139
 14    9.5   18.0  13:47    1.9  06:17    8.8    0.0   0.00    3.9   13.4  09:24    113
 15    9.4   17.1  10:33    3.0  23:40    8.9    0.0   0.03    4.0   22.5  16:55    330
 16   -0.3    3.0  00:00   -1.5  23:56   18.7    0.0   0.05    4.6   20.9  07:10    325
 17    1.8    7.7  13:21   -2.2  06:58   16.6    0.0   0.46    4.0   20.0  14:36    302
 18    9.5   16.7  12:36    0.7  05:46    8.9    0.0   0.00    4.6   17.6  19:31    294
 19   14.1   18.9  13:44   10.2  03:45    4.2    0.0   0.99    4.1   19.2  15:41    311
 20    5.4   11.6  00:00    0.4  06:42   13.0    0.0   0.00    4.8   25.0  13:11    289
 21    8.0   17.6  13:42   -0.1  05:18   10.3    0.0   0.43    4.2   16.7  12:53    118
 22    8.3   11.1  13:36    5.9  01:45   10.1    0.0   0.25    3.9   20.0  15:11    333
 23    7.0   12.1  16:46    2.0  05:31   11.4    0.0   0.00    4.3   17.6  09:19    298
 24   10.6   18.1  11:57    2.8  04:57    7.7    0.0   0.00    3.2   11.8  11:15     61
 25   12.9   18.4  13:28    6.9  05:43    5.4    0.0   0.25    5.0   15.9  12:49    135
 26   11.2   13.9  14:38    5.3  23:59    7.1    0.0   1.98    2.3   13.4  18:36     64
 27    3.7    8.0  17:41    0.1  09:05   14.6    0.0   3.02    2.7   24.2  16:31    293
 28   13.0   21.8  14:32    5.7  06:03    5.3    0.0   0.00    4.4   14.2  11:50    329
 29   20.0   30.1  13:32   12.4  03:05    0.0    1.6   0.03    5.7   24.2  23:48    309
 30    6.2   16.5  00:15    1.6  08:51   12.1    0.0   0.00    4.4   20.9  01:27    294
---------------------------------------------------------------------------------------
       5.8   30.1     29  -10.7     09  377.7    1.6  10.36    3.9   25.0     20    296
