                   MONTHLY CLIMATOLOGICAL SUMMARY for May 2025


NAME: Shefford, QC
ELEV: 300 meters    LAT: 45-12.26 N    LONG: 072-21.17 W


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   10.2   20.4  14:37    0.7  05:13    8.2    0.0   0.00    4.1   10.1  12:13    134
 02   13.7   20.7  16:45    9.2  04:42    4.6    0.0   1.19    3.7   19.2  09:09    334
 03   10.2   14.2  00:14    8.5  05:45    8.1    0.0   0.20    2.3   13.4  00:27    303
 04   12.9   20.0  15:02    8.3  05:45    5.4    0.0   0.00    2.9   11.8  23:59    103
 05   15.7   23.1  13:14    9.0  04:09    2.6    0.0   0.00    7.7   17.6  00:51    138
 06   15.7   22.0  11:30   12.4  04:25    2.7    0.0   0.30    5.1   20.0  13:33    114
 07   15.1   19.8  09:51    8.3  23:58    3.3    0.0   0.38    3.0   12.6  15:09    313
 08    6.5    8.3  00:01    5.0  10:25   11.9    0.0   0.08    0.8   11.8  12:56    179
 09    7.1    9.3  14:32    4.8  03:42   11.2    0.0   3.10    5.3   13.4  01:39    148
 10    9.0   11.4  16:30    7.8  03:05    9.3    0.0   1.80    1.7   10.9  21:58    197
 11    8.4   16.1  14:23    0.9  06:05   10.0    0.0   0.00    3.6   17.6  11:00    291
 12   12.6   21.5  12:10    8.7  02:14    5.8    0.0   0.03    3.2   15.1  12:26    325
 13   19.3   29.7  14:18   11.2  05:21    0.0    1.0   0.00    4.5   15.1  06:31    116
 14   21.1   31.1  13:36   14.6  05:40    0.0    2.8   0.00    3.4   14.2  02:06    312
 15   20.9   27.9  13:16   16.4  06:10    0.0    2.6   0.00    1.9    8.4  09:06    321
 16   21.8   32.6  14:23   17.4  06:10    0.0    3.5   0.13    1.7   13.4  17:31    291
 17   16.7   19.8  09:37   13.8  23:57    1.7    0.0   2.03    1.0   13.4  09:28     88
 18   12.0   17.3  14:17    6.2  23:57    6.3    0.0   1.07    1.1   14.2  15:03    312
 19    5.6    7.0  15:17    3.8  23:40   12.7    0.0   1.91    1.2   10.1  10:48    147
 20    6.2    9.5  15:17    3.6  06:07   12.1    0.0   0.08    1.2   10.9  21:59    181
 21   10.6   18.5  13:06    7.2  01:15    7.8    0.0   0.00    6.7   14.2  11:17    131
 22    7.2   10.2  13:27    5.2  23:56   11.1    0.0   0.13    6.9   15.1  13:34    131
 23    6.0    7.4  17:20    4.9  00:34   12.4    0.0   0.76    3.5   11.8  03:02    141
 24    6.0    8.3  16:07    4.7  08:23   12.3    0.0   1.37    0.2    8.4  07:26    211
 25    9.4   15.8  14:23    5.9  05:05    8.9    0.0   0.05    0.8   10.9  15:28    174
 26   14.1   24.2  13:39    8.5  02:00    4.2    0.0   0.05    1.8   10.1  12:43    306
 27   18.1   26.9  14:02   12.3  04:30    0.2    0.0   0.00    3.2   10.1  12:38    313
 28   20.3   30.1  13:32   14.4  05:57    0.0    1.9   0.00    3.3   12.6  13:09    308
 29   16.3   20.6  11:33   13.4  23:36    2.0    0.0   0.43    1.5    9.3  08:22    305
 30   14.7   19.1  14:38   12.3  06:45    3.6    0.0   0.05    0.7    7.6  09:38      5
 31   11.9   15.8  08:40    7.2  22:05    6.4    0.0   3.84    1.3   12.6  09:03    196
---------------------------------------------------------------------------------------
      12.8   32.6     16    0.7     01  184.8   11.8  18.97    2.9   20.0     06    135
