                   MONTHLY CLIMATOLOGICAL SUMMARY for Jun 2025


NAME: Shefford, QC
ELEV: 300 meters    LAT: 45-12.26 N    LONG: 072-21.17 W


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01    6.7    8.5  16:21    5.1  08:26   11.6    0.0   0.48    1.3   11.8  12:10     43
 02   11.6   19.1  13:18    6.9  03:53    6.7    0.0   0.05    1.7   12.6  10:55     17
 03   17.8   25.6  13:55   10.4  04:05    0.6    0.0   0.00    2.3    7.6  08:39    348
 04   23.3   32.5  13:01   16.8  02:30    0.0    4.9   0.00    1.8    7.6  15:14     21
 05   21.9   25.8  12:37   18.5  23:35    0.0    3.6   0.00    1.1    9.3  23:27    355
 06   19.6   27.8  12:10   16.4  22:35    0.0    1.3   0.00    0.7    7.6  00:25    189
 07   19.0   24.9  11:36   15.5  23:57    0.0    0.7   0.00    2.0   19.2  22:34    199
 08   19.0   27.3  13:39   13.2  05:06    0.0    0.6   0.00    3.2   15.9  02:03    151
 09   16.0   22.5  09:26   13.0  13:44    2.4    0.0   0.25    3.0   12.6  07:55     80
 10   16.3   21.2  14:41   13.0  23:46    2.0    0.0   0.71    1.1    9.3  16:53     38
 11   16.6   23.0  13:52   11.5  04:59    1.7    0.0   0.03    2.1   10.9  12:42     40
 12   15.9   21.4  10:51    9.4  23:43    2.5    0.0   0.00    1.1   10.1  17:10    350
 13   12.2   19.9  13:59    7.3  05:14    6.1    0.0   0.00    1.3   11.8  12:52    190
 14   15.4   23.6  13:33   10.3  04:54    2.9    0.0   0.00    2.8   14.2  10:30    176
 15   17.5   26.2  11:53   12.7  05:20    0.8    0.0   0.00    2.1    9.3  13:29    325
 16   21.3   30.2  13:16   15.0  05:02    0.0    3.0   0.00    1.7   10.1  10:36     53
 17   20.5   26.6  10:35   16.4  05:50    0.0    2.2   0.05    2.1   10.9  20:24     43
 18   22.3   28.5  12:54   18.7  00:05    0.0    4.0   0.00    1.1    8.4  11:45     11
 19   22.1   28.2  13:36   19.7  21:21    0.0    3.7   0.33    0.6    8.4  14:49     23
 20   16.4   21.1  00:38   14.0  23:35    1.9    0.0   1.78    1.0   10.9  10:53    284
 21   18.6   26.7  13:13   11.9  04:50    0.0    0.2   0.00    2.3    9.3  11:55    292
 22   21.8   26.2  12:27   18.4  07:09    0.0    3.4   0.20    2.1   11.8  03:54      9
 23   25.4   32.3  12:04   19.5  04:00    0.0    7.0   0.00    1.9    9.3  13:42     34
 24   27.9   33.0  13:47   23.1  00:00    0.0    9.6   0.00    1.9   10.1  13:10      5
 25   21.7   28.4  13:24   17.9  23:55    0.0    3.4   0.00    2.3   14.2  23:31    209
 26   15.7   19.0  15:10   13.6  21:24    2.6    0.0   0.00    3.2   15.9  04:30    171
 27   18.2   26.3  11:28   13.7  00:00    0.2    0.0   0.84    2.7   10.1  10:29    116
 28   17.0   19.8  17:45   14.2  10:07    1.3    0.0   1.88    0.7    7.6  20:01     37
 29   17.5   19.9  14:23   15.2  06:50    0.8    0.0   0.00    0.4    6.0  07:53    318
 30   22.2   31.8  13:04   15.7  04:54    0.0    3.9   0.00    1.3    6.8  15:24     30
---------------------------------------------------------------------------------------
      18.5   33.0     24    5.1     01   44.1   51.5   6.60    1.8   19.2     07     70
