                   MONTHLY CLIMATOLOGICAL SUMMARY for Jul 2025


NAME: Shefford, QC
ELEV: 300 meters    LAT: 45-12.26 N    LONG: 072-21.17 W


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   22.0   25.3  13:33   18.9  23:58    0.0    3.7   2.29    1.1   12.6  02:26    354
 02   21.7   27.8  12:08   18.6  00:34    0.0    3.4   0.00    1.3    6.8  08:09     21
 03   18.2   23.1  08:47   12.9  20:55    0.1    0.0   1.35    0.8   11.8  20:32    299
 04   15.6   21.8  13:41   10.3  05:34    2.7    0.0   0.00    1.1    8.4  09:14    316
 05   19.1   23.7  12:17   15.0  04:46    0.0    0.7   0.00    1.8    9.3  23:48    311
 06   23.8   31.2  11:59   20.3  23:00    0.0    5.4   0.05    2.4    8.4  18:03      0
 07   22.5   31.3  13:28   17.6  23:31    0.0    4.1   0.18    1.0   11.8  14:34    225
 08   16.9   20.0  18:05   14.7  07:09    1.5    0.0   0.13    0.3    7.6  02:43    204
 09   20.3   26.8  13:13   16.7  03:30    0.0    1.9   0.00    1.3    9.3  10:53     64
 10   22.3   32.3  13:25   19.1  05:45    0.0    3.9   0.00    1.2    8.4  16:46     85
 11   23.3   30.7  11:46   19.1  02:05    0.0    5.0   0.00    1.3    6.8  13:23     39
 12   25.5   33.6  12:28   21.6  05:50    0.0    7.2   0.00    1.1    6.8  13:16     60
 13   23.9   30.1  09:39   20.7  21:57    0.0    5.5   0.69    1.5    8.4  13:54    359
 14   22.7   27.9  11:57   19.5  23:15    0.0    4.4   0.00    0.6    6.0  11:14     43
 15   23.6   30.5  13:02   18.6  03:22    0.0    5.2   0.00    0.8    7.6  11:49    360
 16   26.1   32.5  12:18   21.0  05:55    0.0    7.8   0.00    0.8    5.1  09:46     21
 17   24.9   29.8  13:16   17.7  23:56    0.0    6.6   0.20    1.4   10.9  09:45     23
 18   17.9   25.9  12:35   12.4  07:10    0.4    0.0   0.41    1.2   10.9  12:55    152
 19   21.8   27.2  12:29   16.3  00:24    0.0    3.5   0.00    1.3    7.6  14:41     37
 20   17.7   21.1  10:38   14.4  23:08    0.7    0.0   3.28    0.9   12.6  22:21    215
 21   15.1   21.1  12:44   11.0  06:00    3.2    0.0   0.00    1.4   12.6  12:51    154
 22   15.8   22.9  12:43   10.7  05:46    2.5    0.0   0.00    1.2    7.6  10:15     66
 23   19.6   28.1  12:55   14.1  04:50    0.0    1.2   0.00    1.3    8.4  12:10     24
 24   24.3   30.2  13:24   18.4  03:16    0.0    6.0   0.00    2.0   10.1  13:48     36
 25   21.9   25.7  14:02   18.3  23:58    0.0    3.6   0.94    1.7   12.6  20:19    119
 26   21.6   29.8  11:48   16.8  05:30    0.0    3.3   0.00    1.6    5.1  14:40     51
 27   21.6   24.1  12:49   19.9  05:50    0.0    3.3   0.00    0.9    9.3  03:49    345
 28   24.4   31.7  12:57   18.8  05:42    0.0    6.0   0.00    1.0    6.8  12:13    355
 29   24.2   31.4  12:47   21.1  06:09    0.0    5.9   0.00    1.4    7.6  11:59    145
 30   21.6   29.4  11:56   17.9  21:04    0.0    3.3   0.79    0.9   14.2  15:16    256
 31   16.7   22.1  12:39   14.2  05:56    1.6    0.0   0.00    2.2   17.6  02:09    200
---------------------------------------------------------------------------------------
      21.2   33.6     12   10.3     04   12.8  101.0  10.29    1.3   17.6     31     24
