                   MONTHLY CLIMATOLOGICAL SUMMARY for Aug 2025


NAME: Shefford, QC
ELEV: 300 meters    LAT: 45-12.26 N    LONG: 072-21.17 W


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   16.6   25.9  12:42   12.1  06:45    1.7    0.0   0.00    2.9   14.2  07:34    181
 02   18.4   26.1  13:20   13.0  06:00    0.0    0.0   0.05    2.1    7.6  14:39    336
 03   20.2   24.9  12:49   16.3  05:44    0.0    1.9   0.00    1.6    8.4  09:46    348
 04   18.6   23.4  10:39   15.8  23:34    0.0    0.2   0.00    1.4   12.6  13:59    200
 05   18.8   25.6  13:55   14.7  04:28    0.0    0.5   0.00    2.4   11.8  00:29    184
 06   21.6   30.9  13:43   16.3  06:06    0.0    3.3   0.00    2.4   12.6  00:03    139
 07   23.0   31.4  13:39   18.5  03:40    0.0    4.7   0.00    1.2    6.8  10:39    209
 08   23.5   31.8  13:32   18.7  06:10    0.0    5.2   0.00    1.1    7.6  08:51    249
 09   24.7   32.8  13:13   20.0  04:27    0.0    6.3   0.00    1.5    6.8  13:24    339
 10   26.1   33.4  13:39   21.5  05:36    0.0    7.8   0.00    1.3    8.4  14:03      8
 11   27.6   35.9  13:40   22.2  05:17    0.0    9.3   0.00    1.4    8.4  14:24    348
 12   28.1   37.2  12:59   23.3  04:23    0.0    9.7   0.00    2.0    7.6  13:58      8
 13   24.4   31.7  11:30   21.4  23:30    0.0    6.1   0.03    0.6    6.8  12:34    341
 14   21.4   28.7  13:32   16.7  23:58    0.0    3.1   0.00    2.4   12.6  10:37    193
 15   20.8   30.9  13:51   14.7  05:39    0.0    2.5   0.00    2.0   10.9  10:49    193
 16   23.4   32.2  13:48   17.4  05:43    0.0    5.1   0.00    1.5    9.3  16:13    277
 17   17.6   22.6  00:00    9.9  00:00    0.7    0.0   0.28    2.4   17.6  23:07    213
 18   13.3   21.6  13:50    7.4  06:04    5.0    0.0   0.00    2.9   15.9  11:03    204
 19   17.4   26.1  13:14   12.6  03:20    1.0    0.0   0.00    1.4    9.3  20:06    147
 20   19.0   28.5  13:07   15.5  06:02    0.0    0.7   0.00    1.0    6.8  12:00    226
 21   19.2   27.0  12:15   14.6  03:04    0.0    0.8   0.00    2.7   13.4  09:58    201
 22   21.9   31.0  13:21   17.2  05:54    0.0    3.6   0.00    2.1   18.4  00:10    181
 23   23.5   31.3  12:41   17.7  06:42    0.0    5.1   0.00    2.1   10.1  23:14     23
 24   21.1   27.3  13:44   16.6  06:43    0.0    2.8   0.08    3.1   10.9  05:43     30
 25   18.8   25.4  13:53   15.0  23:40    0.0    0.5   0.36    1.2    8.4  11:47     12
 26   14.4   16.6  16:36   13.0  06:25    4.0    0.0   0.20    0.5    7.6  15:48     50
 27   14.3   20.1  13:57   10.3  06:22    4.0    0.0   0.00    1.1   11.8  14:59    265
 28   16.1   21.8  16:05   11.1  05:26    2.2    0.0   0.00    1.6   15.1  19:08     40
 29   14.1   17.9  15:59   11.7  23:49    4.2    0.0   0.33    0.5    8.4  15:34     40
 30   11.2   13.9  09:44   10.2  23:05    7.1    0.0   0.74    0.4    8.4  11:05     26
 31   15.8   25.4  13:44   10.3  00:00    2.5    0.0   0.00    1.3    7.6  12:53     56
---------------------------------------------------------------------------------------
      19.9   37.2     12    7.4     18   32.4   79.1   2.06    1.7   18.4     22    185
