                   MONTHLY CLIMATOLOGICAL SUMMARY for Sep 2025


NAME: Shefford, QC
ELEV: 300 meters    LAT: 45-12.26 N    LONG: 072-21.17 W


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   20.0   28.9  13:28   15.1  04:27    0.0    1.7   0.00    1.3   10.1  13:46    185
 02   19.4   29.6  13:39   14.3  22:00    0.0    1.1   0.58    1.1   10.1  15:19     95
 03   19.9   28.5  12:31   15.2  02:05    0.0    1.6   0.00    1.6    8.4  12:24     38
 04   21.1   29.1  13:30   16.1  06:23    0.0    2.8   0.69    2.7   14.2  17:01     59
 05   18.1   24.6  13:30   10.9  07:56    0.2    0.0   0.94    2.2   12.6  23:55     25
 06   13.2   20.3  00:10   12.0  21:35    5.1    0.0   1.04    0.2    9.3  00:10     47
 07   13.5   20.9  12:42   10.5  22:41    4.8    0.0   0.00    0.8    8.4  14:28    352
 08   13.0   19.9  13:18    8.2  06:43    5.4    0.0   0.00    1.7    8.4  12:55    323
 09   15.5   22.6  13:59    9.4  04:34    2.8    0.0   0.00    1.4    8.4  14:16     31
 10   17.4   25.4  13:36   13.3  03:05    0.9    0.0   0.00    1.3    7.6  13:44    267
 11   16.3   23.3  12:29   12.5  23:42    2.0    0.0   0.00    2.4   13.4  12:09    217
 12   14.2   21.0  12:33    9.8  06:37    4.1    0.0   0.00    2.5   13.4  00:54    191
 13   16.0   21.6  13:53   13.3  00:05    2.4    0.0   0.00    0.5    6.0  11:42    271
 14   17.1   24.2  13:52   13.3  00:00    1.3    0.0   0.00    1.9   13.4  21:59    217
 15   16.1   23.9  12:06   11.4  06:45    2.3    0.0   0.00    1.8   10.9  01:23    191
 16   18.4   26.6  13:37   13.6  05:50    0.0    0.1   0.00    2.3   13.4  09:06    175
 17   19.3   24.9  13:17   16.6  22:40    0.0    0.9   0.00    1.3    6.8  11:07    306
 18   19.9   26.8  12:56   15.6  07:45    0.0    1.6   0.00    2.0    9.3  13:15    308
 19   13.5   19.5  13:16    8.5  23:56    4.8    0.0   0.00    2.2   14.2  23:00    206
 20    9.9   16.2  13:10    4.5  05:58    8.4    0.0   0.00    2.3   15.9  02:12    206
 21   15.4   24.7  13:20    8.7  03:34    3.0    0.0   0.00    2.1    7.6  02:33     79
 22   17.5   23.5  13:34   13.0  06:12    0.8    0.0   1.45    1.2    7.6  02:57      8
 23   16.1   18.2  16:42   15.1  22:55    2.2    0.0   1.45    0.0    2.7  18:02    214
 24   16.9   22.5  13:30   14.1  07:12    1.4    0.0   0.00    1.6   13.4  12:41    159
 25   15.6   16.6  00:00   14.6  05:59    2.7    0.0   5.44    0.8   10.1  11:46     88
 26   15.4   16.9  17:00   12.3  23:56    3.0    0.0   0.20    0.1   16.7  21:57    324
 27   15.0   21.8  13:18    9.4  06:31    3.4    0.0   0.00    1.1   15.1  10:01    194
 28   17.7   23.5  13:43   14.4  22:36    0.6    0.0   0.00    1.5   10.9  09:16     20
 29   17.9   24.6  13:16   13.5  06:55    0.5    0.0   0.00    2.5    8.4  08:55    304
 30   13.7   19.9  11:55    8.6  23:52    4.7    0.0   0.00    3.8   18.4  05:51    207
---------------------------------------------------------------------------------------
      16.4   29.6     02    4.5     20   66.8    9.7  11.79    1.6   18.4     30    212
