                   MONTHLY CLIMATOLOGICAL SUMMARY for Oct 2025


NAME: Shefford, QC
ELEV: 300 meters    LAT: 45-12.26 N    LONG: 072-21.17 W


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01    9.1   15.4  13:21    4.6  06:36    9.2    0.0   0.00    3.9   15.1  09:01    206
 02   11.3   18.3  13:33    6.6  04:13    7.1    0.0   0.00    2.1    8.4  13:20    178
 03   15.0   22.6  13:53    9.0  05:30    3.4    0.0   0.00    1.7    8.4  09:56    289
 04   18.7   25.8  13:54   14.8  07:21    0.0    0.3   0.00    1.6    9.3  11:54      1
 05   21.8   29.8  13:31   16.9  03:28    0.0    3.5   0.00    1.7    9.3  10:09    311
 06   21.8   29.0  14:21   17.4  06:50    0.0    3.5   0.00    2.2   10.1  15:36    358
 07   19.1   28.2  11:47   12.4  23:59    0.0    0.8   2.13    1.6   10.1  18:21      9
 08    9.9   16.6  14:32    4.1  23:57    8.5    0.0   0.74    1.2   12.6  11:35    177
 09    5.0   11.4  14:44    0.1  06:57   13.4    0.0   0.00    1.7   12.6  11:40    192
 10    8.3   17.4  14:22    2.7  05:30   10.1    0.0   0.00    2.5    9.3  10:10    315
 11   12.1   21.4  14:01    7.0  05:32    6.3    0.0   0.00    1.8   10.9  22:34    170
 12   13.6   21.0  14:25    9.4  06:32    4.7    0.0   0.00    6.3   12.6  08:23    141
 13   11.6   15.1  12:56    8.7  06:07    6.7    0.0   0.00    5.3   10.9  05:04    143
 14    9.1   11.2  14:37    7.4  03:45    9.2    0.0   0.18    0.4    9.3  00:11    139
 15    7.5   11.4  13:00    3.6  23:58   10.9    0.0   0.00    1.2   10.9  11:52    159
 16    5.6   14.1  14:31   -0.2  07:20   12.8    0.0   0.00    2.3   13.4  20:55    170
 17    6.5   14.5  14:34    2.3  06:45   11.8    0.0   0.00    1.6   10.1  12:26    228
 18    8.8   13.8  15:54    3.9  04:31    9.6    0.0   0.00    0.8    6.8  09:35    344
 19   16.1   24.3  14:12   11.4  06:55    2.2    0.0   0.00    3.8   18.4  20:54     94
 20   13.9   16.7  10:39   10.7  23:38    4.4    0.0   1.22    5.3   19.2  03:42    118
 21    9.1   10.9  15:42    7.2  10:20    9.3    0.0   0.10    0.4    7.6  08:45    343
 22    8.4   11.2  01:38    5.4  21:39    9.9    0.0   1.35    0.6    8.4  04:12     59
 23    7.1   10.0  12:05    5.8  08:03   11.2    0.0   0.20    0.2    7.6  15:13     32
 24    5.7    7.7  11:36    3.0  07:05   12.6    0.0   0.05    0.0    0.0  00:00    N/A
 25    4.6    7.6  15:17    2.9  02:01   13.8    0.0   0.03    0.0    2.7  13:17    288
 26    4.3    7.2  13:43    2.3  06:45   14.1    0.0   0.03    0.1    6.8  12:28    266
 27    4.9    8.6  12:11    2.3  04:10   13.4    0.0   0.03    1.4   12.6  23:55    177
 28    5.5   12.3  14:22    1.4  07:30   12.8    0.0   0.00    5.0   18.4  08:10    146
 29    6.7   15.8  14:10    1.8  07:26   11.6    0.0   0.00    5.0   13.4  01:06    131
 30    5.4    7.7  23:28    3.7  05:09   13.0    0.0   0.25    5.1   19.2  20:54    130
 31    8.5    9.5  10:35    6.4  14:23    9.9    0.0   1.30    6.6   20.0  01:55    136
---------------------------------------------------------------------------------------
      10.2   29.8     05   -0.2     16  261.7    8.0   7.59    2.3   20.0     31    143
