                   MONTHLY CLIMATOLOGICAL SUMMARY for Sep 2024


NAME: Shefford, QC
ELEV: 300 meters    LAT: 45-12.26 N    LONG: 072-21.17 W


                   TEMPERATURE (°C), RAIN (cm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   19.3   25.7  11:50   12.2  23:43    0.0    0.9   1.19    2.0   11.8  14:03      2
 02   12.1   17.7  11:28    9.6  05:41    6.3    0.0   0.00    1.7   10.1  09:28    268
 03   13.7   20.9  13:27    7.7  05:20    4.6    0.0   0.00    2.3    9.3  11:59    289
 04   18.0   25.0  13:11   13.6  06:06    0.3    0.0   0.00    2.7    8.4  14:33    312
 05   19.9   28.4  13:16   15.2  05:10    0.0    1.6   0.00    1.9    6.8  15:08    314
 06   18.9   26.8  12:48   14.9  07:28    0.0    0.6   0.00    2.7   11.8  15:35     68
 07   16.9   26.3  13:15   11.4  23:55    1.4    0.0   1.17    2.7   11.8  07:29     90
 08    9.4   14.0  13:17    6.3  07:25    9.0    0.0   0.33    2.7   10.9  13:41     31
 09   13.0   20.4  12:53    7.9  06:21    5.3    0.0   0.00    2.2   11.8  13:35    358
 10   12.2   20.2  13:41    7.2  06:20    6.2    0.0   0.00    2.0   10.1  13:18    290
 11   16.3   23.4  13:23   11.7  06:05    2.0    0.0   0.00    2.6   10.9  10:10    309
 12   17.9   23.7  13:40   14.8  05:01    0.5    0.0   0.00    1.6    6.0  11:33      3
 13   19.9   26.6  12:41   15.6  06:05    0.0    1.6   0.00    2.2    8.4  15:49    333
 14   20.9   28.6  13:06   18.0  05:14    0.0    2.6   0.00    2.2   10.1  15:26     73
 15   21.6   29.1  13:40   18.8  00:00    0.0    3.3   0.00    2.3    6.0  13:42     37
 16   21.8   28.2  12:40   18.7  06:55    0.0    3.4   0.00    2.2    8.4  14:02    315
 17   21.5   27.5  13:50   18.5  06:30    0.0    3.2   0.00    2.7    7.6  12:36    330
 18   21.4   29.6  13:28   18.1  06:25    0.0    3.0   0.00    1.9    6.0  11:24     27
 19   21.4   29.4  13:09   18.6  06:51    0.0    3.1   0.00    3.1   18.4  21:10    150
 20   19.1   24.9  12:17   16.2  00:00    0.0    0.8   0.00    3.7   11.8  17:37    143
 21   16.5   21.3  11:50   14.2  23:49    1.8    0.0   0.00    3.0   10.1  19:35    139
 22   16.0   23.2  13:44   12.3  06:29    2.3    0.0   0.00    2.3   10.1  20:51    121
 23   14.3   16.8  14:42   11.8  04:30    4.1    0.0   0.00    1.6   10.1  00:42     98
 24   15.2   21.4  11:14   11.5  06:43    3.1    0.0   0.00    2.2    9.3  08:18    120
 25   11.6   13.1  15:46    9.4  08:18    6.7    0.0   0.51    3.2   11.8  18:06     76
 26   13.4   16.5  15:21   12.0  03:10    4.9    0.0   2.77    1.4    8.4  15:41      0
 27   14.0   17.6  15:35   12.6  06:35    4.3    0.0   0.00    0.9    7.6  11:00     16
 28   16.1   23.7  13:20   12.5  03:19    2.2    0.0   0.00    2.8   12.6  11:28    133
 29   16.3   22.5  14:13   13.2  05:57    2.1    0.0   0.00    0.9    9.3  14:48    259
 30   16.8   25.3  13:33   12.7  06:30    1.6    0.0   0.00    2.6   13.4  19:26    169
---------------------------------------------------------------------------------------
      16.8   29.6     18    6.3     08   68.7   24.0   5.97    2.3   18.4     19     65

