                   MONTHLY CLIMATOLOGICAL SUMMARY for Dec 2024


NAME: Shefford, QC
ELEV: 300 meters    LAT: 45-12.26 N    LONG: 072-21.17 W


                   TEMPERATURE (°C), RAIN (cm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   -3.7   -2.6  00:05   -4.7  05:39   22.1    0.0   0.00    0.3   10.1  00:09    341
 02   -5.1   -4.1  12:20   -6.3  07:33   23.5    0.0   0.00    0.0    0.0  00:00    N/A
 03   -4.6   -2.0  11:06   -5.9  23:35   22.9    0.0   0.00    0.0    0.0  00:00    N/A
 04   -4.4   -1.2  11:41   -7.6  05:43   22.8    0.0   0.00    0.0    0.0  00:00    N/A
 05   -2.4    0.2  11:20   -4.2  00:00   20.7    0.0   0.00    0.0    0.0  00:00    N/A
 06   -9.4   -4.2  00:00  -12.3  20:15   27.7    0.0   0.00    0.0    0.0  00:00    N/A
 07   -8.9   -3.8  14:22  -11.9  01:28   27.3    0.0   0.00    0.0    0.0  00:00    N/A
 08   -3.2   -0.1  14:35   -5.9  00:00   21.5    0.0   0.00    0.0    0.0  00:00    N/A
 09   -6.1   -2.6  00:00   -8.6  07:46   24.4    0.0   0.00    0.0    0.0  00:00    N/A
 10    0.8    3.8  13:54   -2.6  00:00   17.5    0.0   0.86    1.1   24.2  23:49    270
 11    3.0    5.8  15:57   -0.5  23:13   15.4    0.0   3.10    3.5   16.7  00:08    324
 12   -3.2    1.6  13:29   -8.4  23:57   21.5    0.0   0.00    2.3   10.9  14:25    353
 13   -8.6   -2.6  13:47  -10.8  03:40   26.9    0.0   0.00    1.8   11.8  12:36    324
 14   -9.8   -4.0  13:51  -12.9  23:13   28.1    0.0   0.00    1.5   10.9  14:13    336
 15   -6.9    0.9  13:46  -12.7  00:00   25.2    0.0   0.00    2.1    8.4  22:19     16
 16    0.2    3.7  14:45   -3.6  00:30   18.1    0.0   0.76    3.9   16.7  23:20    327
 17    3.5    5.6  06:56    1.2  23:46   14.9    0.0   0.97    4.9   20.0  05:03    350
 18    0.5    2.2  12:58   -1.0  23:57   17.8    0.0   0.00    1.7   14.2  14:09    332
 19   -4.1    0.4  13:35  -10.8  23:55   22.4    0.0   0.00    0.0    0.0  00:00    N/A
 20   -8.8   -5.2  12:20  -11.3  02:00   27.1    0.0   0.00    0.0    0.0  00:00    N/A
 21  -12.7   -9.3  13:08  -19.2  23:55   31.0    0.0   0.00    0.0    0.0  00:00    N/A
 22  -17.0   -7.1  13:49  -19.8  05:00   35.4    0.0   0.00    0.0    0.0  00:00    N/A
 23  -13.4   -9.1  23:58  -17.6  00:00   31.7    0.0   0.00    0.0    0.0  00:00    N/A
 24   -8.1   -5.4  12:53  -11.5  23:51   26.5    0.0   0.00    0.0    0.0  00:00    N/A
 25   -9.8    1.6  13:49  -13.1  07:00   28.2    0.0   0.00    0.0    0.0  00:00    N/A
 26   -9.6    1.0  14:04  -11.9  18:15   27.9    0.0   0.00    0.0    0.0  00:00    N/A
 27   -9.3    4.1  13:48  -12.8  03:10   27.6    0.0   0.00    0.0    0.0  00:00    N/A
 28   -1.0    3.6  00:00   -9.8  01:04   19.3    0.0   2.69    1.2    8.4  18:06    319
 29    6.4    8.8  10:49    3.5  00:10   11.9    0.0   0.15    3.4   13.4  20:35     34
 30    7.0   10.5  10:32    1.6  23:56   11.4    0.0   1.19    4.8   22.5  22:49     16
 31    1.9    4.2  13:47    1.0  03:25   16.4    0.0   0.03    3.6   16.7  01:21     59
---------------------------------------------------------------------------------------
      -4.7   10.5     30  -19.8     22  715.2    0.0   9.75    1.2   24.2     10    348

